,id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,type,endY,endX,Angle,Zone,Length,longBall,Cross,throughBall,freeKick,Corner,Penalty,Foul,fastBreak,ownGoal,Yellow,Red,jerseyNum,throwIn,goalKick,Saved,Missed,bigChance,blockedX,blockedY,isHeader,Blocked,h_a
868,2694251101,391,1,2,48,25,dqq34048nqex146r77i5l8twq,Successful,64.9,45.5,2024-06-02T22:03:56.981Z,2024-06-02T22:03:58Z,"[{'id': 5067397091, 'qualifierId': 213, 'value': '2.74', 'Name': 'Angle'}, {'id': 5067397083, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067397087, 'qualifierId': 141, 'value': '57.3', 'Name': 'Pass End Y'}, {'id': 5067397089, 'qualifierId': 212, 'value': '20.7', 'Name': 'Length'}, {'id': 5067397085, 'qualifierId': 140, 'value': '46.7', 'Name': 'Pass End X'}]",bqxs1jhlsp1xlksbhs62syfbo,K. Vargas,,,pass,57.3,46.7,2.74,Back,20.7,,,,,,,,,,,,,,,,,,,,,,a
869,2694251105,392,49,2,48,26,dqq34048nqex146r77i5l8twq,Successful,46.7,57.3,2024-06-02T22:03:58.340Z,2024-06-02T22:03:58Z,[],6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,ball_recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,a
870,2694251137,393,1,2,48,28,dqq34048nqex146r77i5l8twq,Successful,46.0,59.7,2024-06-02T22:04:00.053Z,2024-06-02T22:04:02Z,"[{'id': 5067397289, 'qualifierId': 212, 'value': '9.1', 'Name': 'Length'}, {'id': 5067397285, 'qualifierId': 140, 'value': '43.6', 'Name': 'Pass End X'}, {'id': 5067397291, 'qualifierId': 213, 'value': '4.43', 'Name': 'Angle'}, {'id': 5067397283, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067397287, 'qualifierId': 141, 'value': '46.9', 'Name': 'Pass End Y'}]",6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,pass,46.9,43.6,4.43,Back,9.1,,,,,,,,,,,,,,,,,,,,,,a
871,2694251143,394,1,2,48,30,dqq34048nqex146r77i5l8twq,Successful,43.4,46.1,2024-06-02T22:04:02.060Z,2024-06-02T22:04:04Z,"[{'id': 5067397345, 'qualifierId': 212, 'value': '23.0', 'Name': 'Length'}, {'id': 5067397341, 'qualifierId': 140, 'value': '44.7', 'Name': 'Pass End X'}, {'id': 5067397339, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067397343, 'qualifierId': 141, 'value': '12.3', 'Name': 'Pass End Y'}, {'id': 5067397347, 'qualifierId': 213, 'value': '4.77', 'Name': 'Angle'}]",22zkj62c3nnd2zerfbntlevze,A. Privett,,,pass,12.3,44.7,4.77,Back,23.0,,,,,,,,,,,,,,,,,,,,,,a
872,2694251153,395,1,2,48,33,dqq34048nqex146r77i5l8twq,Successful,45.1,10.4,2024-06-02T22:04:04.861Z,2024-06-02T22:04:12Z,"[{'id': 5067397425, 'qualifierId': 212, 'value': '16.1', 'Name': 'Length'}, {'id': 5067397423, 'qualifierId': 141, 'value': '5.8', 'Name': 'Pass End Y'}, {'id': 5067397419, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}, {'id': 5067397427, 'qualifierId': 213, 'value': '6.09', 'Name': 'Angle'}, {'id': 5067397421, 'qualifierId': 140, 'value': '60.1', 'Name': 'Pass End X'}]",537yyv46hctf4ig8h7x63cokq,A. Malanda,,,pass,5.8,60.1,6.09,Right,16.1,,,,,,,,,,,,,,,,,,,,,,a
873,2694251157,396,1,2,48,40,dqq34048nqex146r77i5l8twq,Successful,65.4,3.8,2024-06-02T22:04:12.405Z,2024-06-02T22:04:13Z,"[{'id': 5067397437, 'qualifierId': 141, 'value': '15.9', 'Name': 'Pass End Y'}, {'id': 5067397433, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}, {'id': 5067397435, 'qualifierId': 140, 'value': '63.7', 'Name': 'Pass End X'}, {'id': 5067397441, 'qualifierId': 213, 'value': '1.78', 'Name': 'Angle'}, {'id': 5067397439, 'qualifierId': 212, 'value': '8.4', 'Name': 'Length'}]",ahsgqqn4mjj7isq2x0fdkl49,B. Bronico,,,pass,15.9,63.7,1.78,Right,8.4,,,,,,,,,,,,,,,,,,,,,,a
874,2694251159,397,50,2,48,41,dqq34048nqex146r77i5l8twq,Successful,68.5,15.2,2024-06-02T22:04:13.225Z,2024-06-02T22:04:20Z,"[{'id': 5067397445, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}, {'id': 5067397635, 'qualifierId': 233, 'value': '487', 'Name': 'not sure!'}, {'id': 5067397623, 'qualifierId': 286, 'Name': 'not sure!'}]",czazwj4nt23bydpdi67i0wga2,L. Abada,,,dispossessed,,,,Right,,,,,,,,,,,,,,,,,,,,,,,a
875,2694251169,487,7,2,48,41,943ue6l8ylnidoygbi9p8op2h,Successful,31.5,84.8,2024-06-02T22:04:13.226Z,2024-06-02T22:04:19Z,"[{'id': 5067397491, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067397493, 'qualifierId': 285, 'Name': 'not sure!'}, {'id': 5067397629, 'qualifierId': 233, 'value': '397', 'Name': 'not sure!'}]",2m4iwb3oo5zzfbxrua7ver3kl,D. McCarty,,,tackle,,,,Back,,,,,,,,,,,,,,,,,,,,,,,h
876,2694251161,398,43,2,48,42,dqq34048nqex146r77i5l8twq,Successful,0.0,0.0,2024-06-02T22:04:13.558Z,2024-06-02T22:04:16Z,"[{'id': 5067397533, 'qualifierId': 144, 'value': '61', 'Name': ' Deleted event type'}, {'id': 5067397447, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}]",czazwj4nt23bydpdi67i0wga2,L. Abada,,,deleted_event,,,,Right,,,,,,,,,,,,,,,,,,,,,,,a
877,2694251173,488,49,2,48,43,943ue6l8ylnidoygbi9p8op2h,Successful,33.8,72.3,2024-06-02T22:04:14.586Z,2024-06-02T22:04:14Z,[],2p6uagebunshlw5zmp16748dm,C. Wiley,,,ball_recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,h
878,2694251179,489,1,2,48,43,943ue6l8ylnidoygbi9p8op2h,Successful,35.2,71.5,2024-06-02T22:04:14.778Z,2024-06-02T22:04:16Z,"[{'id': 5067397543, 'qualifierId': 141, 'value': '58.4', 'Name': 'Pass End Y'}, {'id': 5067397547, 'qualifierId': 213, 'value': '4.65', 'Name': 'Angle'}, {'id': 5067397541, 'qualifierId': 140, 'value': '34.7', 'Name': 'Pass End X'}, {'id': 5067397539, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067397545, 'qualifierId': 212, 'value': '8.9', 'Name': 'Length'}]",2p6uagebunshlw5zmp16748dm,C. Wiley,,,pass,58.4,34.7,4.65,Back,8.9,,,,,,,,,,,,,,,,,,,,,,h
